"","member","abbr","name"
"1","Canada","NAFTA","North American Free Trade Agreement"
"2","Canada","CETA","Canada-European Union Comprehensive Economic and Trade Agreement"
"3","Canada","TPP","Trans-pacific Partnership"
"4","UK","CETA","Canada-European Union Comprehensive Economic and Trade Agreement"
"5","UK","EEA","European Economic Area"
"6","US","NAFTA","North American Free Trade Agreement"
"7","US","TPP","Trans-pacific Partnership"
"8","France","CETA","Canada-European Union Comprehensive Economic and Trade Agreement"
"9","France","EEA","European Economic Area"
"10","Italy","CETA","Canada-European Union Comprehensive Economic and Trade Agreement"
"11","Italy","EEA","European Economic Area"
"12","Japan","TPP","Trans-pacific Partnership"
"13","Japan","ASEAN","Association of Southeast Asian Nations"
"14","Russia","ASEAN","Association of Southeast Asian Nations"
"15","Germany","CETA","Canada-European Union Comprehensive Economic and Trade Agreement"
"16","Germany","EEA","European Economic Area"