Giver,Recipient,Form of Help,Relation,Date of Activity,Date of first Meeting,Time Step Start,Time step End
MitgliedOnkelEmil,Rita Neumann,3,2,15,15,15,16
Leo Fraines,Ralph Neumann,4,6,12,9,12,13
Walter Seitz,Ruth Hohmann,2,4,15,15,15,16
Leo Fraines,Ralph Neumann,8,4,10,9,10,11
SchwarzmarktVermieter,Ralph Neumann,18,2,10,10,10,11
EhepaarSalzwedel,Rita Neumann,4,2,12,11,12,13
NichtjuedFreundLF,Ralph Neumann,3,2,12,12,12,13
ChristlicheHelferBerlin,Rita Neumann,4,2,12,12,12,13
LandwirtFleischerEberswalde,aeltererJude,4,99,12,12,12,13
Rita Neumann,Ralph Neumann,2,6,12,1,12,13
Ruth Wendland,Ralph Neumann,2,2,12,12,12,13
Ruth Wendland,Ralph Neumann,7,2,12,15,12,13
Ruth Wendland,Ralph Neumann,3,2,12,12,12,13
ChristlicheHelferBerlin,Ralph Neumann,3,99,99,99,10,11
Ruth Wendland,Ralph Neumann,4,2,12,15,12,13
Sonderbehoerde fuer Ausgebombte,Rita Neumann,12,1,13,13,13,14
Guenther Rutenborn,Ralph Neumann,12,2,14,12,14,15
Guenther Rutenborn,Ralph Neumann,4,2,14,12,14,15
Walter Wendland,Ralph Neumann,3,1,12,12,12,13
Walter Seitz,Ralph Neumann,13,2,15,15,15,16
Harald Poelchau,Rita Neumann,2,2,15,15,15,16
Walter Seitz,Ralph Neumann,3,2,15,15,15,16
Walter Seitz,Rita Neumann,2,2,15,15,15,16
Walter Seitz,Ralph Neumann,2,2,15,15,15,16
Ruth AndreasFriedrich,Rita Neumann,4,2,15,15,15,16
WucherVermieter,Ralph Neumann,3,2,10,10,10,11
EhepaarSalzwedel,Rita Neumann,12,2,12,11,12,13
Walter Wendland,Ralph Neumann,4,1,12,12,12,13
Walter Wendland,Ralph Neumann,2,1,12,12,12,13
Sonderbehoerde fuer Ausgebombte,Rita Neumann,3,1,13,13,13,14
Heinrich Grueber,Ralph Neumann,6,2,14,13,14,15
Rita Neumann,Ralph Neumann,2,6,14,1,14,15
Harald Poelchau,Rita Neumann,3,2,15,15,15,16
Militaerpolizei,Ralph Neumann,15,2,15,15,15,16
Ludwig Lichtwitz,Ralph Neumann,5,2,15,15,15,16
Walter Seitz,Rita Neumann,13,2,15,15,15,16
Ruth AndreasFriedrich,Ralph Neumann,3,2,15,15,15,16
Hans Brombach,Rita Neumann,4,2,15,15,15,16
Harald Poelchau,Hans Brombach,2,4,15,99,15,16
Ruth AndreasFriedrich,Ralph Neumann,4,2,15,15,15,16
Ruth AndreasFriedrich,Rita Neumann,3,2,15,15,15,16
Ruth Hohmann,Ralph Neumann,6,2,15,15,15,16
Ludwig Lichtwitz,Rita Neumann,5,2,15,15,15,16
Leo Fraines,Ralph Neumann,2,4,10,9,10,11
Leo Fraines,WucherVermieter,2,99,10,99,10,11
Leo Fraines,Ralph Neumann,3,4,10,9,10,11
WucherVermieter,Gertrud Neumann,3,2,10,10,10,11
WucherVermieter,Rita Neumann,3,2,10,10,10,11
Leo Fraines,Ralph Neumann,9,99,99,99,10,11
Leo Fraines,Rita Neumann,9,4,10,9,10,11
JuedNaeherin,Rita Neumann,3,6,10,1,10,11
Hedwig Hoeppner,Leo Fraines,3,2,10,99,10,11
Leo Fraines,Ralph Neumann,7,4,10,9,10,11
Leo Fraines,Ralph Neumann,4,4,10,9,10,11
Leo Fraines,SchwarzmarktVermieter,2,4,10,99,10,11
Leo Fraines,Ralph Neumann,6,4,10,9,10,11
EhepaarSalzwedel,Rita Neumann,3,2,12,11,12,13
Leo Fraines,Kneipenwitwe,2,4,12,99,12,13
Agnes Wendland,Ralph Neumann,3,2,12,12,12,13
Leo Fraines,LandwirtFleischerEberswalde,2,4,12,12,12,13
Agnes Wendland,Ralph Neumann,4,2,12,12,12,13
Leo Fraines,Rita Neumann,2,4,10,9,10,11
LandwirtFleischerEberswalde,Rita Neumann,3,2,10,10,10,11
ChristlicheHelferBerlin,Rita Neumann,3,2,12,12,12,13
LandwirtFleischerEberswalde,aeltererJude,3,99,12,12,12,13
Ortspolizist,LandwirtFleischerEberswalde,15,6,12,1,12,13
ChristlicheHelferBerlin,Ralph Neumann,3,2,12,12,12,13
ChristlicheHelferBerlin,Ralph Neumann,4,2,12,12,12,13
Elisabeth Abbegg,Ralph Neumann,11,2,12,12,12,13
Kaplan Wiesinger,Rita Neumann,3,2,12,12,12,13
Leo Fraines,NichtjuedFreundLF,2,6,12,99,12,13
Fritz Aub,Ralph Neumann,3,2,12,12,12,13
Kaplan Wiesinger,Ralph Neumann,3,2,12,12,12,13
Walter Wendland,Rita Neumann,12,1,12,12,12,13
Agnes Wendland,Rita Neumann,12,2,12,12,12,13
Kneipenwitwe,Ralph Neumann,4,2,12,11,12,13
LandwirtFleischerEberswalde,Ralph Neumann,3,2,12,12,12,13
ChristlicheHelferBerlin,Ralph Neumann,12,99,99,99,10,11
Agnes Wendland,ChristlicheHelferBerlin,2,4,12,1,12,13
Agnes Wendland,Elisabeth Abbegg,2,4,12,99,12,13
LandwirtFleischerEberswalde,Ralph Neumann,4,2,12,12,12,13
LandwirtFleischerEberswalde,Ralph Neumann,12,2,12,12,12,13
Ruth Wendland,Freunde RW,2,6,12,99,12,13
Gestapo,Agnes Wendland,15,2,12,12,12,13
Gestapo,Elisabeth Abbegg,15,2,12,12,12,13
Agnes Wendland,Sohn Wendland,2,6,12,1,12,13
Sohn Wendland,Walter Aub,2,6,12,99,12,13
Sohn Dr. Aub,Fritz Aub,2,6,12,1,12,13
Leo Fraines,Ralph Neumann,2,6,12,9,12,13
Ralph Neumann,Agnes Wendland,4,2,13,12,13,14
Rita Neumann,Agnes Wendland,4,2,13,12,13,14
Elisabeth Abbegg,Rita Neumann,5,2,13,12,13,14
Sonderbehoerde fuer Ausgebombte,Rita Neumann,5,1,13,13,13,14
Angelika Wendland,Ralph Neumann,3,2,14,12,14,15
Angelika Wendland,Ralph Neumann,12,2,14,12,14,15
Agnes Wendland,FreundeEhepaarWendland,2,6,14,99,14,15
Walter Wendland,FreundeEhepaarWendland,2,6,14,99,14,15
Ralph Neumann,Harald Poelchau,11,2,14,13,14,15
Agnes Wendland,Angelika Wendland,2,6,14,1,14,15
Walter Wendland,Angelika Wendland,14,6,99,1,10,11
Ruth Wendland,Angelika Wendland,14,6,99,1,10,11
Angelika Wendland,Ralph Neumann,4,2,14,12,14,15
AusweisNazi,Ralph Neumann,5,2,14,13,14,15
Rita Neumann,AusweisNazi,2,2,14,13,14,15
FreundeEhepaarWendland,Ralph Neumann,12,2,14,13,14,15
Guenther Rutenborn,Ralph Neumann,3,2,14,12,14,15
Harald Poelchau,Ralph Neumann,2,2,15,14,15,16
Harald Poelchau,Ralph Neumann,3,2,15,14,15,16
Hans Brombach,Ralph Neumann,4,2,15,15,15,16