GISJOIN,STATE,STATEFP,STATENH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M,A57AA1970,A57AA1980,A57AA1990,A57AA2000,A57AA2010,A57AB1970,A57AB1980,A57AB1990,A57AB2000,A57AB2010,AV1AA1970,AV1AA1980,AV1AA1990,AV1AA2000,AV1AA2010,AV1AA125,AV1AA125M,AV1AB1970,AV1AB1980,AV1AB1990,AV1AB2000,AV1AB2010,AV1AB125,AV1AB125M,AR9AA1980,AR9AA1990,AR9AA2000,AR9AA2010,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010,CR1AA1970,CR1AA1980,CR1AA1990,CR1AA2000,CR1AA2010,A68AA1970,A68AA1980,A68AA1990,A68AA2000,A68AA2010,C50AA1980,C50AA1990,C50AA2000,C50AA125,C50AA125M,C50AB1980,C50AB1990,C50AB2000,C50AB125,C50AB125M,C50AC1980,C50AC1990,C50AC2000,C50AC125,C50AC125M,C50AD1980,C50AD1990,C50AD2000,C50AD125,C50AD125M,C50AE1980,C50AE1990,C50AE2000,C50AE125,C50AE125M,C50AF1980,C50AF1990,C50AF2000,C50AF125,C50AF125M,C50AG1980,C50AG1990,C50AG2000,C50AG125,C50AG125M,C50AH1980,C50AH1990,C50AH2000,C50AH125,C50AH125M,BD5AA1980,BD5AA1990,BD5AA2000,BD5AA125,BD5AA125M
"G010","Alabama","01","010",3444165,3893888,4040587,4447100,4779736,4777326,0,1432224,1556175,1601038,1981427,1957932,1280325,1765461,1839966,1941208,2325304,1661941,1871534,1936162,2146504,2320188,2317520,1005,1782224,2022354,2104425,2300596,2459548,2459806,1005,29.3,33.1,35.8,37.9,2533831,2873289,2975797,3162808,3275394,903467,996283,1020705,1155930,1251311,2443,9304,16506,22430,28218,4424,10660,27579,61753,153562,44179,71251,312493,422095,498971,550599,636166,869709,1038881,1103835,1215968,1276440,54538,57554,58125,57953,1503,189940,205224,196568,193683,3193,238608,277428,284405,292419,3959,273596,326585,323887,329615,4256,300829,354101,396108,428282,4688,270032,312677,356617,382006,4235,76725,98556,127205,137736,3320,81243,72369,117871,115160,2507,5894,11486,18189,23587,139
"G020","Alaska","02","020",300382,401851,550043,626932,710231,711139,0,154870,143284,178808,215675,241338,0,170247,221883,277670,315756,163258,213041,289867,324112,369628,370127,339,137124,188810,260176,302820,340603,341012,339,26.1,29.6,32.4,33.8,236767,311968,415492,434534,473576,8911,13748,22451,21787,23263,16276,64357,85698,98043,104871,38428,8314,26402,38422,56646,34146,51875,6414,10768,21173,33949,53387,66034,95564,132837,152337,170750,17654,24333,22212,28899,1117,35901,49110,51239,58120,1936,35408,49581,56182,61768,1536,31930,50430,53617,60542,1824,31130,41928,47833,58781,1870,14621,21179,25307,34085,1565,3147,5813,7441,10561,722,6356,10341,14788,14496,784,10193,17610,22660,32537,318
"G040","Arizona","04","040",1770900,2718215,3665228,5130632,6392017,6410979,0,362036,439487,458255,607097,651358,1157541,1913585,2655997,3908163,5117783,871006,1337942,1810691,2561057,3175823,3187926,458,899894,1380273,1854537,2569575,3216194,3223053,458,29.2,32.3,34.2,35.9,1604948,2260288,2963186,3873611,4667121,53344,74159,110524,158873,259008,95812,154390,203527,255879,296529,16796,24562,387991,695743,951059,146526,218300,156704,297966,462990,645721,864846,438573,705048,940106,1287367,1576520,43332,58557,64004,69951,2088,157514,192915,225933,256309,4019,185699,249713,308552,360491,4614,187101,266636,334014,391476,4842,230577,333293,453395,553667,6891,197036,296152,455900,574522,6136,47257,87702,158690,189604,4365,45762,67560,128749,152500,3489,7041,13461,20275,25571,153
"G050","Arkansas","05","050",1923295,2286435,2350725,2673400,2915918,2916372,0,962430,1106879,1092704,1269221,1278329,378624,563348,591420,860747,1152837,932310,1104688,1133076,1304693,1431637,1431252,973,990985,1181747,1217649,1368707,1484281,1485120,973,30.6,33.9,36.0,37.4,1565915,1889935,1944744,2138598,2245229,352445,373025,373912,418950,449895,2014,12757,12773,17808,22248,2921,7232,19296,62300,141536,35744,57010,226618,295689,329733,352081,402892,502107,625390,651555,732261,775811,47049,54512,55978,59857,1651,156621,164601,166217,173518,3009,163175,177329,204505,209123,3425,151500,178431,195250,208191,3189,142141,168207,207357,230617,3269,120649,137417,179026,190365,3159,33046,41779,62180,62843,1849,32765,38664,59477,57773,1708,5614,10520,16904,22007,151
"G060","California","06","060",19953134,23667902,29760021,33871648,37253956,37325068,0,1817089,2060296,2188700,1881985,1880350,16147770,19771903,25466131,29950008,33427689,9816685,11666485,14897627,16874892,18517830,18561020,1001,10136449,12001417,14862394,16996756,18736126,18764048,1001,29.9,31.7,33.3,35.2,17761032,18221353,20524327,20170059,21453934,1400143,1818660,2208801,2263882,2299072,91018,231702,242164,333346,362801,700941,1312973,6784729,9496715,11322765,1607646,1815384,1691671,2267713,2981649,3425705,4120520,4987806,5936810,7139394,7920049,8642473,336265,369388,324703,346199,5112,1249988,1401052,1280443,1353245,8304,1668579,2003503,1930263,2124228,10205,1795591,2218038,2157970,2412146,12756,2177932,2694728,2786301,3153425,13856,1914390,2731135,2920187,3293440,12207,643461,1010271,1151598,1224966,8790,609335,1059268,1416821,1536134,9712,8295,16409,22711,29551,88
"G080","Colorado","08","080",2207259,2889964,3294394,4301261,5029196,5042853,0,473948,560095,578877,668076,696435,1424011,2017063,2377820,3212849,3865471,1089377,1434293,1631295,2165983,2520662,2529614,704,1117882,1455671,1663099,2135278,2508534,2513239,704,28.6,32.6,34.3,36.1,2112352,2591270,2905474,3560005,4089202,66411,101695,133146,165063,201737,8836,21015,27776,44241,56010,19660,34257,227998,409765,509791,122187,172456,174707,231180,311137,393988,533023,545417,739446,854214,1084461,1261527,58313,67605,72206,83659,2018,190772,212504,235913,248819,3234,229633,263404,318642,335727,4041,229536,275810,333306,362929,4090,284945,341621,439088,510765,4771,221237,267702,410067,463769,4792,56981,79103,145592,168674,2852,51558,62502,128680,146623,2986,7998,14821,24049,31039,139
"G090","Connecticut","09","090",3031709,3107576,3287116,3405565,3574097,3572213,0,686657,657802,685568,417506,429155,2101658,2314820,2455697,2848497,3031980,1470487,1498005,1592873,1649319,1739614,1739522,279,1561222,1609571,1694243,1756246,1834483,1832691,279,32.0,34.5,37.4,40.0,2835458,2811092,2859353,2780355,2772410,181177,216641,274269,309843,362296,2222,4882,6654,9639,11256,12852,21116,146840,230880,335459,74848,92676,269807,338216,415848,438111,481831,766742,814080,864493,881170,908661,48117,54670,47035,49756,1729,192811,203163,177296,174966,3210,270665,293942,264948,257015,3208,273672,297472,269915,267086,3636,317340,342172,341058,365750,4458,211957,272314,275949,311056,3910,59412,89595,96492,106718,2450,71185,74994,116712,126918,2272,8511,20189,28766,37807,222
"G100","Delaware","10","100",548104,594338,666168,783600,897934,900131,0,152535,174519,179667,155842,149985,349674,367562,458749,531032,616982,267332,286599,322968,380541,434939,436338,130,280772,307739,343200,403059,462995,463793,130,29.8,33.0,36.0,38.8,466459,488002,535094,584773,618617,78276,96157,112460,150666,191814,656,1391,2019,2731,4181,2713,4627,16595,32397,59468,13033,23854,41163,55759,76057,96624,125165,136101,154900,175867,204590,230731,8682,10975,9817,10198,688,34042,38130,37056,38473,1494,44854,58000,56533,59261,1693,50181,65976,65194,70186,1986,62084,76866,86611,93652,1961,39232,50974,63408,73416,1972,9148,14033,20867,26166,1262,9516,11192,22493,30316,1156,7449,15854,23305,29733,297
"G110","District Of Columbia","11","110",756510,638333,606900,572059,601723,605759,0,0,0,0,0,0,756510,638333,606900,572059,601723,351491,295417,282970,269366,284222,286427,100,405019,342916,323930,302693,317501,319332,100,31.1,33.6,34.6,33.8,209272,174705,179667,176101,231471,537712,448370,399604,343312,305125,956,1014,1466,1713,2079,8570,6883,26163,37487,45732,13446,17316,64524,69445,71367,65420,65685,162656,133643,122087,114166,112715,5527,5642,3782,3539,427,14718,15940,12404,12900,876,24631,28367,23202,23911,1070,38396,43081,34257,37473,1417,66555,68582,57658,68297,1762,79465,82078,71404,87807,2118,30696,29346,25167,30294,1306,29972,22276,23080,27180,1162,8960,18881,28659,45004,542
"G120","Florida","12","120",6789443,9746324,12937926,15982378,18801310,18885152,0,1321306,1533939,1970598,1712358,1661466,4133783,7428496,10177624,13470104,16439936,3275571,4675626,6261719,7797715,9189355,9232292,1311,3513872,5070698,6676207,8184663,9611955,9652860,1311,34.7,36.5,38.7,40.7,5719343,8184855,10749285,12465029,14109162,1041651,1343134,1759534,2335505,2999862,6677,25006,36335,53541,71458,21772,62514,392772,751988,1148251,376315,472577,960987,1645063,2281083,2695687,3185989,1805860,2690122,3511825,4210760,4835475,127198,167612,155487,163990,3252,483838,600995,595769,627251,8031,651794,874300,922343,1015844,6781,728879,1034010,1085636,1211602,7883,866785,1236778,1444986,1773505,11896,722745,1172060,1497880,1797534,11100,183453,349973,534237,621048,7158,161702,226640,466741,517280,6060,7270,14698,21557,26451,121
"G130","Georgia","13","130",4589575,5463105,6478216,8186453,9687653,9714569,0,1821501,2054024,2380877,2322290,2415502,1880160,2603246,3260674,5010117,6334271,2230696,2640445,3144503,4027113,4729171,4747484,1584,2358879,2822660,3333713,4159340,4958482,4967085,1584,28.7,31.6,33.4,35.3,3391242,3949583,4600148,5327281,5787440,1187149,1464435,1746565,2349542,2950435,2347,10079,13348,21737,32151,8837,26009,118155,373705,710138,114188,207489,350543,489317,618864,738325,1000484,1144427,1426645,1713072,2111647,2457810,86764,97419,93446,104382,2571,290659,328119,334403,341041,5334,377361,464699,511628,537671,6361,414970,542780,583820,632740,6155,459112,611476,729249,831140,6971,427169,603589,776519,855133,7230,140868,234498,347610,370476,4936,125449,158809,347142,364742,4925,6402,13631,21154,25309,123
"G150","Hawaii","15","150",768561,964691,1108229,1211537,1360301,1362730,0,129878,130099,122058,103312,109812,442397,688175,747109,835912,972075,399205,494683,563891,608671,681243,683498,170,369356,470008,544338,602866,679058,679232,170,28.4,32.7,36.2,38.6,298160,331925,369616,294102,336599,7573,17687,27195,22003,21424,1126,2976,5099,3535,4164,461702,590659,706319,632554,677485,259343,320629,42026,72452,120703,154847,189928,170358,226035,263456,287068,313907,19341,17491,14748,15762,933,57103,59857,54341,62561,2264,69976,80577,77207,84878,2028,75034,88216,81891,91927,2547,89345,103652,103435,121567,2753,87941,116546,119135,154704,2478,29122,47128,48025,53111,1757,20630,35071,44176,49807,1607,7740,15770,21525,29227,208
"G160","Idaho","16","160",712567,943935,1006749,1293953,1567582,1567803,0,327133,434233,428535,434456,461212,85187,188249,278200,603808,791843,355750,471155,500956,648660,785324,785954,623,356817,472780,505793,645293,782258,781849,623,27.6,31.6,33.2,34.6,698802,904045,950451,1177304,1396487,2130,2711,3370,5456,9810,6687,10523,13780,17645,21441,4948,6721,39148,67939,100909,25609,38935,63958,88262,115005,138724,189770,179359,246550,263194,335588,403144,27898,33368,33498,39581,1472,81658,86126,97904,104784,2502,81690,89674,114280,123422,2616,65091,74925,98780,114589,2021,50877,63983,100713,119085,2512,32042,40329,70828,87906,2101,8646,12779,23525,28926,1233,14388,18922,27113,29925,1362,6248,11457,17841,22581,185
"G170","Illinois","17","170",11113976,11426518,11430602,12419293,12830632,12823860,0,1884155,1908479,1762050,1509773,1477079,7873782,8293878,8478687,9737473,10260671,5391836,5537537,5552233,6080336,6292276,6291373,896,5722140,5888981,5878369,6338957,6538356,6532487,895,29.9,32.9,34.7,36.6,9600381,9267607,8952978,9125471,9177877,1425674,1674467,1694273,1876875,1866414,11413,19612,21836,31006,43963,76508,172213,761515,1150925,1452396,235016,289982,1030178,1181618,1346339,1407638,1540998,2783641,2931117,2924880,3105513,3182984,180305,188846,183600,168570,2565,625136,619687,587746,550302,4781,725125,747632,743149,736988,6197,713634,741765,748578,746489,6190,863424,938307,1002104,1053789,7932,913983,1045405,1151059,1244849,7800,397211,468685,551290,561476,5066,428816,456839,601714,622784,5300,8066,15201,23104,29519,122
"G180","Indiana","18","180",5193669,5490224,5544159,6080485,6483802,6485530,0,1821609,1964926,1946060,1776474,1786702,2395133,2601162,2692676,3410932,3836584,2531170,2665825,2688281,2982474,3189737,3192018,931,2662499,2824399,2855878,3098011,3294065,3293512,931,29.2,32.9,35.2,37.0,4820324,5008817,5020700,5320022,5467906,357464,414489,432092,510034,591397,3887,9691,12720,15815,18462,11994,24355,78647,158942,278136,75672,127901,467683,546498,648426,702797,802831,1318020,1455556,1480351,1602501,1674126,102311,112380,117198,105473,2257,345359,366105,371942,341510,3826,400826,443129,480825,443714,3721,403806,448409,468193,462669,3985,476147,532729,602830,623230,5753,335013,380427,473609,510555,5042,91407,118419,158340,180059,2822,84911,112381,153692,161097,2851,7142,13149,20397,24558,123
"G190","Iowa","19","190",2824376,2913808,2776755,2926324,3046355,3047646,0,1207971,1205576,1093690,1138892,1096099,842154,931856,942653,1114790,1268964,1372867,1416390,1344802,1435515,1508319,1507335,957,1451509,1497418,1431953,1490809,1538036,1540311,958,30.0,34.1,36.6,38.1,2782762,2841326,2683090,2748640,2781561,32596,42228,48090,61853,89148,2992,6342,7349,8989,11084,6026,13847,38226,75064,111229,31778,53333,323855,352934,389437,399613,427266,713490,770283,740819,769684,790034,100302,100045,100616,103076,1882,276184,268921,271589,266112,3091,251327,256277,283804,280772,3878,202853,210481,234745,240819,2976,189015,204144,251314,280580,3733,110742,123217,158554,181483,3052,26990,36880,49913,54018,1427,28600,33349,49444,50972,1329,7136,12422,19674,26545,135
"G200","Kansas","20","200",2246578,2363679,2477574,2688418,2853118,2851183,0,761708,787780,765010,767749,736157,785933,854553,1018604,1207832,1431424,1101573,1156941,1214645,1328474,1415408,1414881,658,1145005,1206738,1262929,1359944,1437710,1436302,658,30.1,32.9,35.2,36.0,2122068,2170046,2231986,2313944,2391044,106977,126356,143076,154198,167864,8672,17960,21965,24936,28150,8861,17539,80547,138844,180127,56496,85933,248019,282754,316608,329296,356792,578815,635023,658600,701547,734103,76368,82395,79963,86965,2093,221987,215690,220956,219577,2793,205541,217913,244433,247214,3154,177110,200264,221991,232722,2751,176954,208233,241477,271540,3068,119975,138699,161736,177814,2455,27909,35215,44713,47728,1378,27951,31659,44212,42279,1410,7350,13300,20506,26845,156
"G210","Kentucky","21","210",3218706,3660777,3685296,4041769,4339367,4340167,0,1534653,1798594,1774971,1787969,1806024,1120873,1232682,1276855,1566760,1778528,1579036,1789039,1785235,1975368,2134952,2134355,1167,1639670,1871738,1900061,2066401,2204415,2205812,1167,29.1,33.1,35.9,38.1,2981766,3380256,3391832,3640889,3809537,230793,259289,262907,295994,337520,1531,4601,5769,8616,10120,4616,11823,24788,53827,106982,42443,75208,323283,387646,440418,475359,554029,820880,983353,1015998,1104398,1149905,61873,69964,67210,68566,2025,194970,207706,210440,210908,3346,227416,263101,290128,288303,3829,233593,280049,301009,313267,3406,261051,309957,363548,392450,4674,226755,237548,293110,307532,3619,67211,75749,102842,102401,1993,74125,74365,105302,95586,2302,5978,11153,18093,23210,125
"G220","Louisiana","22","220",3641306,4205900,4219973,4468976,4533372,4529605,0,1235156,1318591,1348214,1223311,1215567,1703126,2201661,2228018,2535614,2780406,1771484,2039894,2031386,2162903,2219292,2215673,948,1869822,2166006,2188587,2306073,2314080,2313932,948,27.4,31.1,34.0,35.8,2541498,2915310,2839138,2856161,2836192,1086832,1238472,1299281,1451944,1452396,5294,12932,18541,25477,30579,7682,25123,63013,87129,141322,48265,72883,293867,383605,439786,485182,536621,867710,1068835,1089882,1156438,1160118,63789,63902,62320,68470,2028,204663,199083,196227,213388,3872,247122,260934,281034,306273,4202,286927,303484,314832,325688,3951,311368,316564,357361,383328,4493,278447,279311,323596,341991,4529,84704,89005,120270,128870,2321,123180,102194,136088,146670,3186,6430,10635,16912,24264,131
"G230","Maine","23","230",992048,1124660,1227928,1274923,1328361,1329084,0,487891,590588,680104,762045,814819,171811,249169,266732,313952,348137,482865,546235,597850,620309,650056,650219,420,509183,578425,630078,654614,678305,678865,420,30.4,33.9,38.6,42.7,985276,1112977,1208360,1236014,1264971,2800,3381,5138,6760,15707,2195,4365,5998,7098,8568,1777,3073,8432,12404,18174,12647,20941,107689,130659,152459,171984,203095,245565,293936,328685,340685,350621,31782,36884,34404,34968,1066,86730,93218,86612,82483,1468,87152,100744,98470,94091,1771,76345,91805,91940,89091,1510,75735,99041,111698,119486,2001,52835,75858,94470,104930,2034,16215,26729,34475,39560,1188,15885,22176,36113,39216,1274,5768,12957,19533,26464,206
"G240","Maryland","24","240",3922399,4216975,4781468,5296486,5773552,5785496,0,918464,830420,893039,737818,739221,2588919,3141370,3581461,4247989,4822869,1916321,2042810,2318671,2557794,2791762,2798875,577,2006078,2174165,2462797,2738692,2981790,2986621,577,30.3,33.1,36.0,38.0,3194888,3166142,3393964,3391308,3359284,699479,957418,1189899,1477411,1700298,4239,9075,12972,15423,20420,23793,67949,184633,308757,528842,103587,164708,282628,373888,490007,567652,680849,971877,1089559,1245814,1359318,1447002,43223,54263,47843,48157,1478,166831,186393,169884,177237,3425,228155,287738,271204,277714,3816,268557,338961,320679,344581,3749,407101,502979,496154,536918,5357,453215,571823,590856,663719,5834,183321,261588,291586,324596,3625,163447,213882,316761,398633,4526,8293,17730,25614,36056,159
"G250","Massachusetts","25","250",5689170,5737037,6016425,6349097,6547629,6560595,0,878721,928698,946822,547730,525640,4334196,4444695,4730382,5635129,5912700,2719398,2730893,2888745,3058816,3166628,3174988,455,2969772,3006144,3127680,3290281,3381001,3385607,455,31.2,33.6,36.5,39.1,5477624,5378403,5405374,5367286,5265236,175817,221029,300130,343454,434398,4475,9198,12241,15015,18850,31254,52615,298680,477337,657142,146005,172003,585592,671190,761656,802525,860393,1387932,1438602,1514746,1576696,1603591,91455,102183,85006,85729,2404,356198,361194,306086,286494,4129,465071,469108,426161,407026,4661,426624,463341,423798,416265,4331,504712,557787,578159,594395,5148,446791,564104,634385,685764,5642,159708,216450,275413,298270,4193,134506,170572,276325,321489,4206,7458,17224,25952,35485,157
"G260","Michigan","26","260",8875083,9262078,9295297,9938444,9883640,9897264,0,2321310,2710527,2739455,2518987,2513683,5658843,5781759,5812473,6578451,6560163,4348648,4516189,4512781,4873095,4848114,4855361,821,4526435,4745889,4782516,5065349,5035526,5041903,821,28.8,32.6,35.5,38.9,7833474,7893278,7756086,7966053,7803120,991066,1197177,1291706,1412742,1400362,16854,44919,55638,58479,62007,33689,62641,191867,308754,387832,192416,230319,711857,857056,1049870,1155321,1316262,2181816,2392504,2439171,2575699,2554073,137656,158783,158315,143188,2804,492138,516398,507653,444942,4072,599679,655851,681990,609357,5542,619455,687648,708036,644340,4894,793781,881411,967803,897994,5870,609920,689431,820958,768465,5420,184606,225618,304785,277570,3026,132702,166807,263067,237128,3347,7688,14154,22168,25547,101
"G270","Minnesota","27","270",3804971,4075970,4375099,4919479,5303925,5313081,0,1277663,1350768,1318625,1429420,1417614,1901834,2053939,2370935,2711750,3076032,1863810,1997826,2145183,2435631,2632132,2638499,812,1941161,2078144,2229916,2483848,2671793,2674582,813,29.2,32.5,35.4,37.4,3736038,3942025,4130395,4400282,4524062,34868,52325,94944,171731,274412,23128,36730,49909,54967,60916,10937,32226,99851,209757,319390,82742,125145,372931,434694,500195,547654,649446,916554,1037522,1130683,1255141,1349015,105774,108592,112704,110838,1822,320688,324946,338699,330757,3282,328302,364551,403004,393512,3722,287130,346949,384560,400699,3670,345392,440111,524192,561517,4560,236506,309453,420032,472525,3810,62808,86838,133528,157383,2022,47766,61556,108238,131860,2341,7451,14389,23198,30656,130
