County,vagrants,population,distance,wheat,wages,wageTrajectory
BEDFORDSHIRE,26,54836,61.9,61.79,87,1.15
BERKSHIRE,111,101939,61.7,63.07,90,4.44
BUCKINGHAMSHIRE,79,95936,46.7,63.09,96,-8.33
CAMBRIDGESHIRE,32,80497,86.8,60.04,88,11.36
CHESHIRE,34,158038,255.1,69.19,80,35
CORNWALL,40,142179,364.6,67.94,81,14.81
CUMBERLAND,13,96862,407.3,64.42,78,38.46
DERBYSHIRE,28,122593,196.9,68.02,75,48
DEVON,98,279652,272.5,69.98,89,-7.87
DORSET,27,97262,176.8,67.3,81,22.22
DURHAM,25,119779,380.7,63.16,78,33.33
GLOUCESTERSHIRE,162,215576,157.1,66.54,81,9.88
HAMPSHIRE,78,166648,102.4,61.45,96,6.25
HEREFORDSHIRE,45,84115,190.5,62.05,70,28.57
HERTFORDSHIRE,99,97389,35.3,63.82,90,4.44
HUNTINGDONSHIRE,21,34554,87.5,58.72,89,7.87
LANCASHIRE,94,353268,281.8,71.65,78,55.13
LEICESTERSHIRE,20,107783,146.1,64.84,79,65.82
LINCOLNSHIRE,41,188108,179.8,58.73,84,26.19
NORTHAMPTONSHIRE,33,128798,107.6,63.81,78,21.79
NORTHUMBERLAND,58,148148,440,58.22,72,70.83
NOTTINGHAMSHIRE,31,98216,187.5,61.3,108,0
OXFORDSHIRE,78,99354,86.8,64.23,84,25
RUTLAND,2,15123,132.5,64.12,90,10
SHROPSHIRE,75,147303,214,66.5,76,18.42
SOMERSET,159,234179,180.4,68.29,77,3.9
STAFFORDSHIRE,82,175075,185.3,67.8,76,18.42
WARWICKSHIRE,104,152050,149.3,65.05,96,-3.13
WESTMORLAND,5,38342,365,71.05,74,62.16
WILTSHIRE,99,182421,131.7,63.64,84,20.24
WORCESTERSHIRE,94,130757,164.4,65.78,81,25.93
YORKSHIRE,127,651709,282.2,61.87,80,58.33